round,IC-TE,IC-JSG,II-TE,II-JSG,
0,27,32,19,28,
1,50,50,33,27,
2,62,58,36,5,
3,93,61,12,1,
4,95,68,1,3,
5,97,92,13,0,
6,0,0,4,0,
7,0,0,18,0,
