round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,19,21,15,18,16,26,
1,61,44,21,50,46,51,
2,95,77,25,58,47,59,
3,146,108,65,39,48,60,
4,185,141,53,55,51,64,
5,208,195,23,27,52,69,
6,227,242,15,21,0,71,
7,240,268,17,10,0,0,
8,257,288,7,12,0,0,
9,268,292,5,14,0,0,
10,275,314,7,7,0,0,
11,276,326,5,8,0,0,
12,277,330,4,6,0,0,
13,283,333,1,4,0,0,
14,288,334,5,3,0,0,
15,289,336,2,4,0,0,
16,290,339,2,8,0,0,
17,291,342,9,0,0,0,
18,0,344,1,0,0,0,
19,0,347,1,0,0,0,
20,0,354,6,0,0,0,
21,0,370,4,0,0,0,
22,0,371,7,0,0,0,
23,0,373,2,0,0,0,
24,0,388,0,0,0,0,
25,0,393,0,0,0,0,
26,0,398,0,0,0,0,
27,0,399,0,0,0,0,
28,0,401,0,0,0,0,
