round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,34,16,16,15,13,23,
1,50,43,27,31,27,39,
2,127,72,71,66,30,53,
3,147,101,58,48,32,58,
4,200,145,65,62,34,68,
5,244,186,70,63,36,0,
6,283,224,38,19,0,0,
7,306,254,19,17,0,0,
8,319,282,17,33,0,0,
9,335,325,12,19,0,0,
10,341,358,7,33,0,0,
11,351,378,7,18,0,0,
12,369,404,11,13,0,0,
13,382,425,3,9,0,0,
14,392,448,7,8,0,0,
15,402,486,4,5,0,0,
16,408,515,2,11,0,0,
17,414,544,7,16,0,0,
18,427,566,4,6,0,0,
19,437,578,4,2,0,0,
20,443,601,5,9,0,0,
21,450,615,4,7,0,0,
22,453,631,3,3,0,0,
23,456,642,2,5,0,0,
24,462,649,1,1,0,0,
25,464,658,9,2,0,0,
26,472,666,4,1,0,0,
27,475,685,4,1,0,0,
28,478,700,1,2,0,0,
29,479,713,0,1,0,0,
30,483,727,0,3,0,0,
31,486,735,0,1,0,0,
32,488,740,0,1,0,0,
33,490,745,0,5,0,0,
34,0,757,0,2,0,0,
35,0,768,0,2,0,0,
36,0,774,0,4,0,0,
37,0,785,0,0,0,0,
38,0,787,0,0,0,0,
39,0,791,0,0,0,0,
40,0,796,0,0,0,0,
41,0,804,0,0,0,0,
42,0,811,0,0,0,0,
43,0,814,0,0,0,0,
44,0,823,0,0,0,0,
45,0,836,0,0,0,0,
46,0,841,0,0,0,0,
47,0,847,0,0,0,0,
48,0,857,0,0,0,0,
49,0,859,0,0,0,0,
50,0,867,0,0,0,0,
51,0,872,0,0,0,0,
52,0,878,0,0,0,0,
53,0,885,0,0,0,0,
54,0,895,0,0,0,0,
55,0,905,0,0,0,0,
56,0,908,0,0,0,0,
57,0,912,0,0,0,0,
58,0,914,0,0,0,0,
59,0,922,0,0,0,0,
60,0,924,0,0,0,0,
