T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
10.00,0.02,717515,34918642,22601,1339654,2961,13683,
10.00,0.04,470281,32408768,17776,1266151,4172,12935,
10.00,0.06,370089,24252538,16401,1030502,3437,18610,
10.00,0.08,241033,22290638,14210,1066294,3751,29183,
10.00,0.10,269266,27816306,16530,1022784,3442,16908,
10.00,0.12,174071,5979530,13060,874293,2010,2964,
10.00,0.14,158593,7164207,11400,836405,3951,1316,
10.00,0.16,172772,9588674,11132,874391,5822,8883,
10.00,0.18,134957,4409399,11372,732449,3778,5801,
10.00,0.20,92261,4921321,10518,738585,3138,6879,
