round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,22,34,23,17,18,27,
1,41,74,40,41,25,51,
2,104,135,56,32,41,80,
3,166,191,34,44,42,82,
4,201,258,48,33,43,83,
5,248,287,47,36,0,94,
6,283,297,29,41,0,0,
7,301,312,20,15,0,0,
8,328,328,16,32,0,0,
9,344,362,28,23,0,0,
10,355,391,14,17,0,0,
11,375,406,14,12,0,0,
12,388,419,8,12,0,0,
13,396,425,7,11,0,0,
14,409,435,9,9,0,0,
15,416,447,6,10,0,0,
16,423,457,3,10,0,0,
17,427,480,1,6,0,0,
18,438,490,3,12,0,0,
19,442,505,2,3,0,0,
20,446,516,2,8,0,0,
21,450,546,5,4,0,0,
22,451,557,4,1,0,0,
23,452,562,3,1,0,0,
24,453,580,4,1,0,0,
25,454,583,3,2,0,0,
26,456,588,0,1,0,0,
27,458,593,0,7,0,0,
28,0,599,0,5,0,0,
29,0,606,0,2,0,0,
30,0,614,0,1,0,0,
31,0,615,0,0,0,0,
32,0,617,0,0,0,0,
33,0,620,0,0,0,0,
34,0,647,0,0,0,0,
35,0,648,0,0,0,0,
36,0,660,0,0,0,0,
37,0,674,0,0,0,0,
38,0,676,0,0,0,0,
39,0,685,0,0,0,0,
40,0,686,0,0,0,0,
41,0,689,0,0,0,0,
42,0,695,0,0,0,0,
43,0,706,0,0,0,0,
44,0,712,0,0,0,0,
45,0,715,0,0,0,0,
46,0,719,0,0,0,0,
47,0,733,0,0,0,0,
48,0,734,0,0,0,0,
49,0,735,0,0,0,0,
