round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,22,15,21,15,16,17,
1,47,57,33,37,35,40,
2,125,97,44,38,42,56,
3,160,145,40,27,43,70,
4,202,174,29,76,55,78,
5,237,199,40,46,0,81,
6,263,216,19,33,0,83,
7,287,248,25,21,0,86,
8,310,289,35,22,0,91,
9,331,335,8,19,0,0,
10,345,358,8,10,0,0,
11,347,383,4,10,0,0,
12,355,406,8,7,0,0,
13,364,425,5,7,0,0,
14,367,434,6,5,0,0,
15,377,464,2,4,0,0,
16,388,474,5,5,0,0,
17,393,484,5,2,0,0,
18,396,498,3,8,0,0,
19,401,525,1,1,0,0,
20,402,539,3,1,0,0,
21,0,543,5,1,0,0,
22,0,561,4,2,0,0,
23,0,569,2,2,0,0,
24,0,573,0,2,0,0,
25,0,577,0,4,0,0,
26,0,586,0,2,0,0,
27,0,596,0,3,0,0,
28,0,603,0,3,0,0,
29,0,619,0,1,0,0,
30,0,632,0,7,0,0,
31,0,635,0,3,0,0,
32,0,638,0,1,0,0,
33,0,647,0,2,0,0,
34,0,650,0,2,0,0,
35,0,654,0,1,0,0,
36,0,658,0,6,0,0,
37,0,666,0,1,0,0,
38,0,669,0,1,0,0,
39,0,673,0,3,0,0,
40,0,677,0,1,0,0,
41,0,680,0,1,0,0,
42,0,686,0,0,0,0,
43,0,687,0,0,0,0,
44,0,689,0,0,0,0,
45,0,698,0,0,0,0,
46,0,700,0,0,0,0,
47,0,702,0,0,0,0,
