T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
1.00,0.10,14403,373975,5197,38004,7793,30356,
2.00,0.10,35968,1147354,10635,121645,15758,17326,
3.00,0.10,75637,4551268,12446,194148,11967,23971,
4.00,0.10,152869,8769004,12243,309723,5918,34574,
5.00,0.10,164792,19795647,11955,475168,8183,15469,
6.00,0.10,138470,24984397,13245,794249,16154,9555,
7.00,0.10,170162,24434109,15275,861863,4919,20178,
8.00,0.10,173390,35632847,13341,1066763,12961,47041,
9.00,0.10,217342,33878578,15687,1218453,11323,26856,
10.00,0.10,143300,23522140,16847,1451615,2734,34499,
