T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
1.00,0.10,16.6,14.1,38.5,28,18.9011,15.4645,
2.00,0.10,41.5,36.5,91.2,72.6,89.4468,42.5937,
3.00,0.10,77.1,72.2,164.3,128,190.855,139.961,
4.00,0.10,135.4,123.8,271.5,197.1,643.178,393.053,
5.00,0.10,215.5,192.9,353.7,305.9,1474.13,982.754,
6.00,0.10,319,283.4,517.5,402.8,4829.15,2817,
7.00,0.10,438.1,402.607,664.2,600.878,12052,8399.85,
8.00,0.10,616.7,547.546,866.8,780.231,32779.5,19866.4,
9.00,0.10,793.3,736.413,1089.6,999.502,81020.8,54013.9,
10.00,0.10,1054.6,987.062,1496.8,1282.12,242280,161520,
