round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,40,21,22,27,18,28,
1,70,60,26,55,40,48,
2,106,101,41,49,49,60,
3,208,154,45,50,58,83,
4,257,240,51,52,76,95,
5,300,279,52,49,81,102,
6,336,303,35,33,82,108,
7,359,321,19,18,83,111,
8,388,345,11,7,0,122,
9,404,361,8,8,0,135,
10,417,372,7,3,0,0,
11,423,391,10,5,0,0,
12,429,399,6,5,0,0,
13,433,405,9,8,0,0,
14,437,410,6,4,0,0,
15,441,412,4,3,0,0,
16,444,415,1,1,0,0,
17,448,416,1,2,0,0,
18,0,0,1,1,0,0,
19,0,0,4,1,0,0,
20,0,0,3,1,0,0,
21,0,0,3,1,0,0,
22,0,0,1,6,0,0,
23,0,0,1,1,0,0,
24,0,0,2,1,0,0,
25,0,0,0,4,0,0,
26,0,0,0,3,0,0,
27,0,0,0,5,0,0,
28,0,0,0,4,0,0,
29,0,0,0,3,0,0,
30,0,0,0,3,0,0,
31,0,0,0,1,0,0,
32,0,0,0,1,0,0,
33,0,0,0,3,0,0,
34,0,0,0,1,0,0,
35,0,0,0,3,0,0,
36,0,0,0,2,0,0,
