T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,655.2,419.4,863.8,701.6,637,588,457,
55.00,0.10,731.3,469.8,965.8,782,648,594,507,
60.00,0.10,863.9,581.8,1061.8,791,708,609.667,557,
65.00,0.10,944.8,570.3,1163.7,1006.3,832,682.667,607,
70.00,0.10,1079,618.5,1258.8,984.2,828,736,657,
75.00,0.10,1100.5,665.5,1365.6,1050,962,789.333,707,
80.00,0.10,1103.6,741.8,1464.8,1207.1,948,842.667,757,
85.00,0.10,1332.1,766.4,1563.9,1079.7,1008,840,807,
90.00,0.10,1418.2,817.8,1661.2,1341.2,1068,949.333,857,
95.00,0.10,1505.4,1043,1762.2,1440.3,1128,971.333,907,
100.00,0.10,1590.2,1016,1863.5,1513.8,1287,1089,957,
