T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,7526,198198,1441,40059,6585,21517,0,
55.00,0.10,7479,338673,1441,53117,4636,24579,0,
60.00,0.10,13591,148741,1441,70250,4636,23279,0,
65.00,0.10,13591,504650,1441,70701,8825,31318,0,
70.00,0.10,11503,400003,1441,82716,6640,32378,0,
75.00,0.10,13591,218252,1441,59316,6833,24387,0,
80.00,0.10,13347,312073,1441,36159,6640,30832,0,
85.00,0.10,11938,114135,1441,36412,6640,24104,0,
90.00,0.10,11938,256989,1441,56448,6640,31022,0,
95.00,0.10,11938,257032,1441,59418,6640,24129,0,
100.00,0.10,11938,175215,1441,49184,6833,24512,0,
