T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
100.00,0.01,8744,242861,2284,78623,11001,22488,0,
100.00,0.02,8744,243522,2214,77760,11001,22488,0,
100.00,0.03,8744,238328,2213,76344,10303,14565,0,
100.00,0.04,8744,228649,2214,78080,13271,22515,0,
100.00,0.05,8711,234640,2213,77380,11001,22488,0,
100.00,0.06,8400,237719,2213,77592,2809,22488,0,
100.00,0.07,8400,456618,2213,77360,8820,21063,0,
100.00,0.08,8400,219044,2213,92823,8532,20419,0,
100.00,0.09,8400,204275,2213,75918,8532,22488,0,
100.00,0.10,8400,153528,2213,77968,8820,20419,0,
