T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
100.00,0.01,1391,934.8,2301.2,1024.1,1287,924,860,
100.00,0.02,1391,929.3,2299.4,1022.9,1287,924,860,
100.00,0.03,1391,1020.1,2299.1,1103.3,990,990,860,
100.00,0.04,1391,929,2299,1102.6,891,924,860,
100.00,0.05,1391,1019,2299.1,1020.7,1287,924,860,
100.00,0.06,1391,930.4,2297.7,1034.8,1089,924,860,
100.00,0.07,1391,909.7,2297.8,1108.6,990,924,860,
100.00,0.08,1391,928.6,2297.5,1113.6,1089,990,860,
100.00,0.09,1391,928.2,2297.8,1091.2,1089,924,860,
100.00,0.10,1391,925.7,2297.8,1111.6,990,990,860,
