T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,50553,2513,18592,911,917,193067,0,
55.00,0.10,50554,2391,18592,911,757,212720,0,
60.00,0.10,50553,1642,18592,883,890,293377,0,
65.00,0.10,50554,2391,18592,883,759,323471,0,
70.00,0.10,50550,2522,18592,883,917,287178,0,
75.00,0.10,50550,2391,18592,883,889,313243,0,
80.00,0.10,50581,1661,18592,887,759,338036,0,
85.00,0.10,50578,2391,18592,764,753,363049,0,
90.00,0.10,50554,1487,18592,883,917,459472,0,
95.00,0.10,50554,2275,18592,1060,1013,403930,0,
100.00,0.10,50550,2391,18592,887,889,426980,0,
