round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,300,280,100,80,80,260,0,
2,320,0,20,20,20,300,0,
3,360,0,0,0,20,327,0,
4,0,0,0,0,0,349,0,
