T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,515,452,675.1,653,784,384,363,
55.00,0.10,575.2,461,754.8,733,756,433,408,
60.00,0.10,636.4,562,833.4,766,885,471,444,
65.00,0.10,696.6,561,917.2,841,832,526,489,
70.00,0.10,758.1,613,997.1,916,1104,565,525,
75.00,0.10,819,661,1076,991,1110,614,570,
80.00,0.10,878.7,785,1154.6,1064,1027,652,606,
85.00,0.10,938.4,761,1235.6,993,1092,702,651,
90.00,0.10,998.2,811,1315.4,1216,1424,740,687,
95.00,0.10,1059.4,951,1396.4,1541,1598,794,732,
100.00,0.10,1119.2,911,1477.6,1364,1485,834,768,
