round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,400,400,200,200,340,380,
2,600,580,200,200,500,520,
3,780,760,200,200,620,640,
4,980,940,200,200,720,800,
5,1160,1120,200,200,800,940,
6,1360,1300,160,180,880,1060,
7,1482,1462,151,160,980,1100,
8,1622,1618,120,80,1040,1180,
9,1761,1742,40,60,1060,1280,
10,1901,1862,40,20,1080,1320,
11,2006,1985,26,20,0,1340,
12,2081,2031,20,0,0,1420,
13,2143,2052,0,0,0,1440,
14,2175,2092,0,0,0,0,
15,2186,2102,0,0,0,0,
16,0,2122,0,0,0,0,
17,0,2142,0,0,0,0,
18,0,2190,0,0,0,0,
