T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
1.00,0.10,18.9,16.8,66.9,40.5,27.4925,20.0466,
2.00,0.10,45.1,40.8,112.2,86.4,89.4468,70.2796,
3.00,0.10,88.3,78.1,188.1,152.7,286.283,209.941,
4.00,0.10,142.3,129.8,269.9,212.6,803.972,553.848,
5.00,0.10,212.4,196.1,364.7,311.2,2211.2,1375.86,
6.00,0.10,311.9,274.1,463.9,410.5,6036.43,3890.15,
7.00,0.10,426.2,378.298,584.7,509.1,15338.9,10591.1,
8.00,0.10,569.5,519.621,722.6,647.666,50659.3,26819.6,
9.00,0.10,778.4,682.167,905.2,811.552,113429,70218.1,
10.00,0.10,1045.1,896.454,1196.6,1014.51,308357,205571,
