round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,400,200,200,340,380,
2,580,580,200,200,460,500,
3,780,780,200,200,560,660,
4,960,980,200,200,660,800,
5,1160,1160,180,200,740,860,
6,1340,1340,180,180,780,1000,
7,1535,1500,180,180,840,1120,
8,1715,1655,140,130,860,1160,
9,1858,1795,85,103,880,1300,
10,1978,1914,50,20,0,1360,
11,2118,1955,20,20,0,1400,
12,2238,2006,20,20,0,1440,
13,2358,2050,0,20,0,1520,
14,2418,2051,0,20,0,1580,
15,2450,0,0,20,0,0,
16,2470,0,0,20,0,0,
17,0,0,0,16,0,0,
