round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,400,400,200,200,340,360,
2,600,600,200,200,480,560,
3,780,780,200,200,580,740,
4,960,960,200,180,680,880,
5,1120,1120,200,180,740,1020,
6,1280,1281,200,166,800,1120,
7,1460,1421,200,160,860,1200,
8,1620,1561,140,160,880,1300,
9,1760,1701,140,149,980,1380,
10,1920,1821,60,80,1000,1400,
11,2020,1901,40,80,1020,1460,
12,2120,1961,20,20,0,1540,
13,2240,2021,19,20,0,1640,
14,2300,2061,0,20,0,1700,
15,2380,2081,0,20,0,1780,
16,2420,2101,0,0,0,1820,
17,2460,2121,0,0,0,1920,
18,2480,2141,0,0,0,2000,
19,2520,2161,0,0,0,2080,
20,2540,2182,0,0,0,2140,
21,2580,0,0,0,0,2160,
22,2660,0,0,0,0,0,
23,2740,0,0,0,0,0,
