round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,340,360,
2,580,580,180,180,500,520,
3,720,740,160,180,620,640,
4,860,880,160,180,720,740,
5,1020,1000,140,160,800,840,
6,1100,1100,140,160,880,940,
7,1260,1160,120,140,960,1000,
8,1320,1260,80,140,0,1120,
9,1440,1340,80,120,0,1160,
10,1520,1400,60,100,0,1200,
11,1640,1480,60,80,0,1220,
12,1760,1560,60,60,0,1280,
13,1860,0,40,60,0,1320,
14,1920,0,40,60,0,1360,
15,1980,0,40,40,0,1380,
16,2040,0,40,20,0,1420,
17,2060,0,20,0,0,1460,
18,2100,0,20,0,0,1500,
19,2140,0,20,0,0,0,
20,0,0,20,0,0,0,
21,0,0,20,0,0,0,
