T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
2500.00,0.10,13161,7781,1634,2557,6640,6931,
3025.00,0.10,13161,7161,1634,2310,6640,8864,
3600.00,0.10,13161,7629,1634,2356,6640,6640,
4225.00,0.10,13161,7629,1634,2356,6628,4708,
4900.00,0.10,13161,5965,1634,1791,6640,6640,
5625.00,0.10,13161,5177,1634,1565,4207,4708,
6400.00,0.10,13161,4854,1634,1519,6604,6640,
7225.00,0.10,13161,4590,1634,1519,6640,6604,
8100.00,0.10,13161,4349,1634,1360,6640,6640,
9025.00,0.10,13161,4188,1634,1360,6872,6640,
10000.00,0.10,13161,4068,1634,1314,4058,6640,
