T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
2500.00,0.10,800,549.8,1000,899.3,599.88,649.87,
3025.00,0.10,880,549.9,1100,769.6,659.891,714.882,
3600.00,0.10,960,599.9,1200,839.7,719.9,719.9,
4225.00,0.10,1040,649.9,1300,909.7,779.908,779.908,
4900.00,0.10,1120,699.9,1400,980,839.914,839.914,
5625.00,0.10,1200,750,1500,1050,899.92,899.92,
6400.00,0.10,1280,960,1600,1120,959.925,959.925,
7225.00,0.10,1360,850,1700,1190,1019.93,1019.93,
8100.00,0.10,1440,900,1800,1260,1079.93,1079.93,
9025.00,0.10,1520,950,1900,1330,1234.93,1139.94,
10000.00,0.10,1600,1000,2000,1400,999.95,1199.94,
