T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
100.00,0.02,2400,1300,5000,3697.6,1600,1500,900,
100.00,0.04,2400,1495.4,4998.5,3795.8,1400,1600,900,
100.00,0.06,2000,1698.7,5100,5286.1,1600,1500,900,
100.00,0.08,2400,1490.5,5183.9,5998.1,1600,1733.33,900,
100.00,0.10,2400,1390.4,5098.5,5987.5,1700,1400,900,
100.00,0.12,2400,1700,5100,4099.1,1600,1600,900,
100.00,0.14,2400,1485.1,5098.5,6179.1,1500,1600,900,
100.00,0.16,2400,1400,5397,4682.6,1600,1800,900,
100.00,0.18,2400,1782.1,5098.5,7589.1,1600,1500,900,
100.00,0.20,2400,1400,5092.5,6458,1400,1500,900,
