T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
100.00,0.02,367596,1863971,15490,328900,150514,208132,0,
100.00,0.04,367596,4098097,15487,269127,68167,91879,0,
100.00,0.06,218452,6635934,15915,218368,117621,161497,0,
100.00,0.08,367596,5908245,16032,205503,120502,190678,0,
100.00,0.10,367596,5138273,15915,195673,200220,243651,0,
100.00,0.12,367596,3049618,15915,169650,49600,151979,0,
100.00,0.14,367596,8710374,15915,359052,96459,236784,0,
100.00,0.16,367596,2236181,15515,192697,86465,186326,0,
100.00,0.18,367596,7142593,15915,367961,51874,288422,0,
100.00,0.20,367596,2111646,15915,475424,119837,243577,0,
