round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,22,25,29,23,22,
1,35,30,21,25,41,
2,49,51,16,0,64,
3,67,56,9,0,65,
4,98,72,1,0,93,
5,99,73,12,0,94,
6,107,75,0,0,0,
7,0,77,0,0,0,
