round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,32,34,25,18,29,
1,46,45,47,16,38,
2,79,62,15,7,39,
3,80,68,15,5,47,
4,91,69,2,1,51,
5,92,78,0,0,61,
6,97,0,0,0,72,
7,0,0,0,0,84,
8,0,0,0,0,87,
