T,var,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
10.00,0.10,41.4,32,95.6,48,38,
15.00,0.10,46.3,46.8,208.4,62.4,40,
20.00,0.10,51.1,45,157.4,72,50,
25.00,0.10,79.8,50,159.5,70,50,
30.00,0.10,67.2,55,210.6,115.5,60,
35.00,0.10,82.2,65,124.4,82.9,60,
40.00,0.10,85.3,76.4,114.2,139.4,69,
45.00,0.10,94.1,73.7,160.9,134,70,
50.00,0.10,99.1,71,143.8,92.3,80,
