round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,19,26,33,25,33,
1,36,45,32,28,46,
2,56,50,21,3,51,
3,61,68,13,0,0,
4,96,77,24,0,0,
5,103,0,51,0,0,
6,115,0,2,0,0,
7,0,0,2,0,0,
8,0,0,4,0,0,
9,0,0,3,0,0,
10,0,0,6,0,0,
11,0,0,4,0,0,
12,0,0,1,0,0,
13,0,0,1,0,0,
14,0,0,8,0,0,
15,0,0,2,0,0,
16,0,0,9,0,0,
17,0,0,5,0,0,
18,0,0,1,0,0,
