round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,22,22,23,26,19,
1,51,27,23,16,35,
2,86,51,12,8,51,
3,92,69,2,4,52,
4,100,78,2,3,54,
5,104,100,0,10,0,
6,121,108,0,0,0,
7,0,109,0,0,0,
