round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,39,23,35,33,34,
1,69,39,35,20,44,
2,92,57,13,11,57,
3,97,61,5,2,58,
4,99,0,4,0,63,
5,115,0,6,0,0,
