T,var,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
10.00,0.10,18724,15355,4151,1133,7431,
15.00,0.10,11550,6892,7295,1376,3328,
20.00,0.10,9007,6210,5920,996,7721,
25.00,0.10,17008,9827,3847,1222,13873,
30.00,0.10,8463,10850,4986,1649,5379,
35.00,0.10,10834,5813,2533,1489,7139,
40.00,0.10,11620,25294,1584,1914,10012,
45.00,0.10,11925,11578,2809,1208,14122,
50.00,0.10,9789,12781,2247,1089,9861,
