round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,27,23,27,43,30,
1,65,36,26,7,77,
2,98,67,17,3,93,
3,104,78,10,1,94,
4,108,84,21,0,95,
5,114,99,21,0,99,
6,121,0,8,0,100,
7,125,0,0,0,0,
8,127,0,0,0,0,
