round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,36,30,41,22,20,
1,67,39,19,18,38,
2,79,41,54,14,54,
3,125,42,25,3,57,
4,129,45,16,0,75,
5,0,49,9,0,76,
6,0,0,10,0,0,
7,0,0,29,0,0,
