round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,34,34,25,27,26,
1,70,59,12,23,36,
2,81,66,6,15,44,
3,97,90,18,15,50,
4,103,101,14,0,54,
5,0,103,22,0,0,
6,0,0,19,0,0,
7,0,0,15,0,0,
8,0,0,9,0,0,
9,0,0,13,0,0,
