round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,160,340,
2,560,560,180,180,140,460,
3,740,740,180,180,140,560,
4,920,920,180,180,140,700,
5,1100,1100,180,180,100,820,
6,1268,1280,180,180,100,900,
7,1448,1460,180,180,80,980,
8,1628,1640,150,162,80,1040,
9,1772,1800,120,144,80,1100,
10,1913,1980,102,120,80,1120,
11,2036,2140,80,105,60,1220,
12,2156,2300,80,81,60,1280,
13,2316,2480,45,80,60,1320,
14,2436,2640,20,63,60,1360,
15,2528,2800,0,20,60,1420,
16,2625,2960,0,20,60,1480,
17,2701,3120,0,20,60,1520,
18,2806,3280,0,3,40,1560,
19,2909,3440,0,0,40,1600,
20,2992,3600,0,0,40,1620,
21,3054,3728,0,0,40,1680,
22,3117,3888,0,0,40,1720,
23,3201,4028,0,0,40,1820,
24,3265,4188,0,0,40,0,
25,3322,4328,0,0,40,0,
26,3410,4488,0,0,20,0,
27,3474,4648,0,0,0,0,
28,3513,4788,0,0,0,0,
29,3541,4908,0,0,0,0,
30,3575,5028,0,0,0,0,
31,3579,5148,0,0,0,0,
32,3599,5288,0,0,0,0,
33,3613,5408,0,0,0,0,
34,3639,5508,0,0,0,0,
35,3666,5628,0,0,0,0,
36,3689,5768,0,0,0,0,
37,3727,5908,0,0,0,0,
38,3735,6048,0,0,0,0,
39,3750,6128,0,0,0,0,
40,3751,6228,0,0,0,0,
41,3772,6308,0,0,0,0,
42,3797,6388,0,0,0,0,
43,3801,6488,0,0,0,0,
44,0,6568,0,0,0,0,
45,0,6671,0,0,0,0,
46,0,6761,0,0,0,0,
47,0,6844,0,0,0,0,
48,0,6965,0,0,0,0,
49,0,7085,0,0,0,0,
50,0,7205,0,0,0,0,
51,0,7305,0,0,0,0,
52,0,7393,0,0,0,0,
53,0,7493,0,0,0,0,
54,0,7538,0,0,0,0,
55,0,7618,0,0,0,0,
56,0,7658,0,0,0,0,
57,0,7698,0,0,0,0,
58,0,7798,0,0,0,0,
59,0,7861,0,0,0,0,
60,0,7961,0,0,0,0,
61,0,7996,0,0,0,0,
62,0,8022,0,0,0,0,
63,0,8082,0,0,0,0,
64,0,8142,0,0,0,0,
65,0,8174,0,0,0,0,
66,0,8194,0,0,0,0,
67,0,8274,0,0,0,0,
68,0,8278,0,0,0,0,
69,0,8298,0,0,0,0,
70,0,8320,0,0,0,0,
71,0,8360,0,0,0,0,
72,0,8415,0,0,0,0,
73,0,8475,0,0,0,0,
74,0,8503,0,0,0,0,
75,0,8563,0,0,0,0,
76,0,8592,0,0,0,0,
77,0,8616,0,0,0,0,
