round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,160,340,
2,560,560,180,180,140,500,
3,740,740,180,180,140,640,
4,920,920,180,180,140,760,
5,1080,1100,180,180,100,860,
6,1260,1280,180,180,80,940,
7,1420,1460,180,180,80,1040,
8,1580,1620,160,165,60,1100,
9,1730,1780,138,160,60,1200,
10,1870,1940,105,107,60,1340,
11,2010,2120,80,100,60,1360,
12,2150,2260,78,100,60,1480,
13,2271,2400,40,99,40,1500,
14,2391,2540,4,60,40,0,
15,2490,2700,0,60,40,0,
16,2559,2840,0,37,40,0,
17,2653,3000,0,0,40,0,
18,2728,3140,0,0,40,0,
19,2795,3300,0,0,40,0,
20,2860,3440,0,0,40,0,
21,2909,3563,0,0,40,0,
22,2948,3671,0,0,40,0,
23,2971,3774,0,0,40,0,
24,3034,3894,0,0,40,0,
25,3051,4014,0,0,40,0,
26,3096,4114,0,0,20,0,
27,3100,4214,0,0,0,0,
28,3115,4298,0,0,0,0,
29,3155,4398,0,0,0,0,
30,3162,4538,0,0,0,0,
31,3180,4638,0,0,0,0,
32,3206,4718,0,0,0,0,
33,3228,4765,0,0,0,0,
34,0,4855,0,0,0,0,
35,0,4955,0,0,0,0,
36,0,5040,0,0,0,0,
37,0,5108,0,0,0,0,
38,0,5208,0,0,0,0,
39,0,5303,0,0,0,0,
40,0,5383,0,0,0,0,
41,0,5437,0,0,0,0,
42,0,5463,0,0,0,0,
43,0,5583,0,0,0,0,
44,0,5632,0,0,0,0,
45,0,5643,0,0,0,0,
46,0,5661,0,0,0,0,
47,0,5761,0,0,0,0,
48,0,5807,0,0,0,0,
