round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,300,280,100,80,60,280,0,
2,320,300,20,20,20,0,0,
3,360,340,0,0,0,0,0,
