round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
0,200,200,200,200,200,200,200,
1,300,260,100,80,40,280,0,
2,320,280,20,20,0,0,0,
3,360,300,0,0,0,0,0,
