T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,516.9,422,677.4,658,588,415,363,
55.00,0.10,576.8,470,760,698,648,467,408,
60.00,0.10,637.3,520,841.2,773,708,515,444,
65.00,0.10,697.1,570,917.2,898,768,564,489,
70.00,0.10,757.1,620,997.1,923,828,613,525,
75.00,0.10,817,670,1077,1058,888,664,570,
80.00,0.10,879.3,724,1163.7,1073,948,713,606,
85.00,0.10,939.2,770,1242.6,1220,1260,763,651,
90.00,0.10,998.6,820,1321.4,1298,1068,814,687,
95.00,0.10,1059.8,870,1398.5,1378,1128,861,732,
100.00,0.10,1119.6,920,1479.4,1373,1188,913,768,
