T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,57973,15079,20028,4254,1336,271051,0,
55.00,0.10,58392,33254,20028,4311,1336,296658,0,
60.00,0.10,57972,33686,20028,4226,1336,146745,0,
65.00,0.10,58392,33686,19902,4379,1336,389653,0,
70.00,0.10,57889,33811,19902,4351,1336,423266,0,
75.00,0.10,57973,33686,19902,4254,1336,188912,0,
80.00,0.10,58128,19693,20028,4226,1336,202779,0,
85.00,0.10,57541,33686,20028,4808,1524,216929,0,
90.00,0.10,57457,33522,20028,4254,1336,516084,0,
95.00,0.10,57457,33522,20028,4255,1336,549913,0,
100.00,0.10,57624,33522,20028,4227,1336,578807,0,
