T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
100.00,0.05,200,200,200,200,200,231,200,
100.00,0.10,220,200,200,200,200,246,200,
100.00,0.15,200,200,200,200,200,241,200,
100.00,0.20,200,200,200,200,200,246,200,
100.00,0.25,200,200,200,200,200,240,200,
100.00,0.30,200,200,200,200,200,241,200,
100.00,0.35,200,200,200,200,200,242,200,
100.00,0.40,200,200,200,200,200,240,200,
100.00,0.45,200,200,200,200,200,231,200,
100.00,0.50,200,200,200,200,200,240,200,
