round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,39,28,33,19,21,
1,79,83,52,45,54,
2,165,123,37,64,136,
3,222,186,41,42,165,
4,270,238,57,65,205,
5,306,287,35,38,266,
6,333,311,35,28,297,
7,365,335,24,17,334,
8,373,344,7,18,364,
9,385,352,7,22,418,
10,400,355,1,1,452,
11,405,356,4,2,481,
12,410,0,2,0,491,
13,411,0,0,0,510,
14,413,0,0,0,521,
15,414,0,0,0,533,
16,415,0,0,0,536,
17,0,0,0,0,541,
18,0,0,0,0,561,
19,0,0,0,0,562,
20,0,0,0,0,568,
21,0,0,0,0,579,
22,0,0,0,0,596,
23,0,0,0,0,602,
24,0,0,0,0,606,
