round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,23,26,18,20,26,
1,53,84,36,63,96,
2,95,117,69,47,126,
3,119,152,45,70,162,
4,150,226,47,82,198,
5,187,250,34,24,226,
6,228,276,37,27,267,
7,247,308,26,17,304,
8,280,319,19,1,347,
9,291,332,15,2,374,
10,310,333,8,2,396,
11,341,338,5,0,423,
12,351,0,1,0,456,
13,355,0,1,0,505,
14,360,0,0,0,532,
15,367,0,0,0,564,
16,377,0,0,0,581,
17,399,0,0,0,600,
18,400,0,0,0,608,
19,409,0,0,0,620,
20,412,0,0,0,626,
21,413,0,0,0,642,
22,415,0,0,0,648,
23,418,0,0,0,680,
24,0,0,0,0,704,
25,0,0,0,0,724,
26,0,0,0,0,743,
27,0,0,0,0,762,
28,0,0,0,0,768,
29,0,0,0,0,780,
30,0,0,0,0,791,
31,0,0,0,0,825,
32,0,0,0,0,826,
33,0,0,0,0,832,
34,0,0,0,0,842,
35,0,0,0,0,857,
36,0,0,0,0,869,
37,0,0,0,0,895,
38,0,0,0,0,897,
39,0,0,0,0,898,
