T,var,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
1.00,0.10,16.5,13.3,31.9,25.2,20,
2.00,0.10,41.5,36.2,80.3,62.9,43,
3.00,0.10,81.2,68.3,127.7,108.8,78,
4.00,0.10,126.9,115.4,218.2,175,134,
5.00,0.10,199.1,177.2,312.1,252.5,191,
6.00,0.10,280.4,250.9,391.2,356,272,
7.00,0.10,375,342.194,503.3,491.38,366,
8.00,0.10,516.1,470.803,719.4,629.642,497,
9.00,0.10,687.1,630.579,811,752.716,658,
10.00,0.10,917,825.055,1085.3,924.589,854,
