round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,35,41,42,35,18,
1,72,82,57,29,53,
2,126,143,108,45,120,
3,180,166,38,66,167,
4,235,218,40,53,222,
5,274,270,43,29,292,
6,319,293,22,24,345,
7,328,304,4,26,370,
8,337,308,2,7,393,
9,343,0,2,5,407,
10,349,0,6,5,436,
11,351,0,2,2,446,
12,0,0,2,1,456,
13,0,0,0,0,460,
14,0,0,0,0,464,
15,0,0,0,0,468,
16,0,0,0,0,473,
17,0,0,0,0,476,
18,0,0,0,0,483,
19,0,0,0,0,488,
20,0,0,0,0,493,
21,0,0,0,0,498,
22,0,0,0,0,499,
23,0,0,0,0,502,
24,0,0,0,0,506,
25,0,0,0,0,508,
26,0,0,0,0,515,
