round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,25,41,26,23,29,
1,87,83,29,40,55,
2,125,120,68,38,107,
3,169,162,37,48,172,
4,210,196,55,61,201,
5,274,227,29,22,238,
6,290,253,39,41,267,
7,301,258,29,35,296,
8,338,266,14,15,337,
9,348,270,13,6,359,
10,354,277,4,4,434,
11,356,281,0,2,472,
12,363,299,0,0,492,
13,368,305,0,0,517,
14,0,0,0,0,570,
15,0,0,0,0,586,
16,0,0,0,0,642,
17,0,0,0,0,667,
18,0,0,0,0,690,
19,0,0,0,0,739,
20,0,0,0,0,750,
21,0,0,0,0,774,
22,0,0,0,0,825,
23,0,0,0,0,859,
24,0,0,0,0,871,
25,0,0,0,0,887,
26,0,0,0,0,910,
27,0,0,0,0,916,
28,0,0,0,0,924,
29,0,0,0,0,945,
30,0,0,0,0,958,
31,0,0,0,0,961,
32,0,0,0,0,985,
33,0,0,0,0,995,
34,0,0,0,0,1000,
35,0,0,0,0,1042,
36,0,0,0,0,1045,
