round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,14,20,26,24,25,35,
1,43,28,19,13,46,50,
2,62,46,20,15,65,78,
3,89,51,27,0,68,0,
4,93,53,29,0,71,0,
5,99,0,10,0,72,0,
6,116,0,27,0,73,0,
7,140,0,11,0,74,0,
8,0,0,34,0,0,0,
