round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,20,17,24,24,21,22,
1,36,37,29,25,40,58,
2,52,40,32,16,46,65,
3,60,61,44,3,51,71,
4,84,74,21,8,53,78,
5,91,78,5,0,54,0,
6,0,0,7,0,56,0,
7,0,0,1,0,59,0,
8,0,0,1,0,65,0,
9,0,0,7,0,75,0,
10,0,0,0,0,76,0,
11,0,0,0,0,77,0,
12,0,0,0,0,79,0,
