round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,28,20,24,28,30,20,
1,76,59,14,28,40,47,
2,83,69,14,8,45,49,
3,91,0,23,6,49,54,
4,115,0,19,0,69,58,
5,124,0,25,0,0,0,
6,146,0,10,0,0,0,
7,0,0,6,0,0,0,
