round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,26,27,14,23,15,37,
1,44,37,14,7,31,60,
2,50,42,27,12,36,78,
3,76,47,34,15,56,0,
4,0,54,28,6,61,0,
5,0,64,36,0,63,0,
6,0,0,5,0,76,0,
7,0,0,7,0,79,0,
