round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,22,26,20,16,36,21,
1,51,36,14,17,49,36,
2,86,62,24,7,59,42,
3,87,0,20,4,66,43,
4,89,0,19,13,69,44,
5,106,0,4,0,73,0,
6,109,0,9,0,91,0,
7,110,0,7,0,102,0,
8,0,0,3,0,0,0,
