round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,17,17,36,30,18,26,
1,38,40,16,15,31,50,
2,67,45,18,1,36,70,
3,71,56,39,2,48,0,
4,81,60,20,2,59,0,
5,84,67,19,0,63,0,
6,100,71,28,0,72,0,
7,101,0,12,0,79,0,
8,122,0,17,0,88,0,
9,123,0,9,0,0,0,
10,135,0,0,0,0,0,
