T,var,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
10.00,0.10,11486,16172,3475,2637,5511,0,
15.00,0.10,3601,28580,4173,5700,10293,0,
20.00,0.10,10271,112281,4527,10427,12110,0,
25.00,0.10,10990,180999,2484,837,4037,0,
30.00,0.10,13396,115210,3175,15077,7422,0,
35.00,0.10,10104,403220,4042,8364,7213,0,
40.00,0.10,9890,249726,2858,16588,13935,0,
45.00,0.10,5972,39852,3984,24947,21193,0,
50.00,0.10,14839,867194,5285,83997,11252,0,
