round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,15,20,20,20,21,22,
1,35,42,10,10,37,39,
2,51,46,57,10,59,47,
3,83,50,12,2,61,65,
4,90,66,12,0,0,0,
5,95,76,4,0,0,0,
6,101,0,20,0,0,0,
7,105,0,0,0,0,0,
8,108,0,0,0,0,0,
