round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,22,31,32,23,25,19,
1,48,50,66,15,32,35,
2,81,54,16,1,38,39,
3,93,58,22,0,55,40,
4,113,67,13,0,60,0,
5,119,70,17,0,65,0,
6,125,0,7,0,0,0,
7,127,0,1,0,0,0,
8,0,0,3,0,0,0,
