round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,OPT,
0,41,29,30,38,15,27,
1,61,44,15,16,23,53,
2,109,47,21,12,31,64,
3,113,61,38,3,36,67,
4,133,77,21,16,46,0,
5,149,0,13,0,51,0,
6,150,0,0,0,91,0,
