T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
50.00,0.10,517.7,374,1074.7,586.8,833,473.667,365,
55.00,0.10,578.3,438.3,1206.7,544.3,810,540,405.5,
60.00,0.10,638.2,484.3,1338.8,613,885,609.667,446,
65.00,0.10,698.1,542.7,1468.9,656.7,832,640,486.5,
70.00,0.10,759,631,1600.4,845,1035,690,527,
75.00,0.10,819,730.9,1730.2,760.6,1110,740,567.5,
80.00,0.10,879,698.6,1862.1,942.1,1185,790,608,
85.00,0.10,939,675.3,1991.8,1139.8,1260,840,648.5,
90.00,0.10,999,727.9,2118.6,979.1,1513,890,689,
95.00,0.10,1059,741.7,2250.3,911.3,1316,971.333,729.5,
100.00,0.10,1119,768.3,2381.9,1076.2,1485,990,770,
