round,IC-TE,IC-JSG,II-TE,II-JSG,DISCRETE,
0,18,28,40,21,17,
1,38,62,55,37,51,
2,84,94,52,37,123,
3,123,131,53,44,158,
4,187,172,43,42,192,
5,218,204,30,47,230,
6,248,241,12,30,261,
7,263,262,16,30,300,
8,277,284,9,10,315,
9,281,294,9,11,324,
10,283,304,6,13,329,
11,288,308,6,6,332,
12,290,311,4,6,336,
13,292,0,1,6,338,
14,293,0,0,1,339,
15,294,0,0,0,0,
