T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
1.00,0.10,1114215,6763968,52059,62166,4089,232747,
2.00,0.10,1386883,76963440,45158,132642,1738,136319,
3.00,0.10,10064014,114893094,57791,207458,2524,113656,
4.00,0.10,6896127,71603462,54078,312298,4239,321078,
5.00,0.10,6749423,59307141,54364,391783,2666,88425,
6.00,0.10,5013084,54879427,60023,502512,2842,138581,
7.00,0.10,2937055,47301352,63953,621628,7087,125879,
8.00,0.10,2773186,39953729,71920,749795,3454,188268,
9.00,0.10,3187037,27521554,71185,884528,2330,141916,
10.00,0.10,2021654,25510770,68533,961784,2128,63663,
