T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
1.00,0.10,4720,5700,200,200,200,2020,
2.00,0.10,6043,18200,200,200,200,1640,
3.00,0.10,22263,13758,200,200,200,1440,
4.00,0.10,16156,6834,200,200,200,2640,
5.00,0.10,11600,5940,200,200,200,1520,
6.00,0.10,8086,5834,200,200,200,1620,
7.00,0.10,5774,5754,200,200,200,1720,
8.00,0.10,4794,5442,200,200,200,1760,
9.00,0.10,4181,5742,200,200,200,1620,
10.00,0.10,3668,6328,200,200,200,1060,
