round,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,
0,200,200,200,200,200,200,
1,380,380,180,180,160,380,
2,560,560,180,180,120,560,
3,740,740,180,180,100,660,
4,920,920,180,180,80,800,
5,1100,1100,180,180,40,900,
6,1260,1260,180,160,40,1020,
7,1440,1440,180,160,40,1120,
8,1620,1620,144,160,40,1180,
9,1780,1800,120,160,40,1240,
10,1940,1980,100,160,40,1320,
11,2100,2160,100,122,40,1400,
12,2260,2320,47,80,40,1500,
13,2440,2498,40,42,40,1580,
14,2600,2660,40,40,40,1680,
15,2780,2800,38,40,40,1760,
16,2960,2946,20,40,40,1800,
17,3100,3126,0,40,40,1900,
18,3240,3266,0,40,40,1920,
19,3400,3392,0,0,0,2000,
20,3550,3552,0,0,0,2120,
21,3710,3712,0,0,0,2160,
22,3830,3820,0,0,0,2260,
23,3970,3960,0,0,0,2280,
24,4110,4100,0,0,0,2320,
25,4270,4214,0,0,0,2400,
26,4410,4314,0,0,0,2440,
27,4550,4463,0,0,0,2500,
28,4690,4583,0,0,0,2640,
29,4830,4703,0,0,0,0,
30,4972,4823,0,0,0,0,
31,5112,4923,0,0,0,0,
32,5237,5043,0,0,0,0,
33,5357,5143,0,0,0,0,
34,5517,5225,0,0,0,0,
35,5633,5305,0,0,0,0,
36,5773,5387,0,0,0,0,
37,5873,5507,0,0,0,0,
38,5953,5627,0,0,0,0,
39,6093,5733,0,0,0,0,
40,6211,5833,0,0,0,0,
41,6331,5953,0,0,0,0,
42,6471,6093,0,0,0,0,
43,6571,6194,0,0,0,0,
44,6691,6267,0,0,0,0,
45,6811,6349,0,0,0,0,
46,6971,6435,0,0,0,0,
47,7111,6509,0,0,0,0,
48,7231,6549,0,0,0,0,
49,7351,6577,0,0,0,0,
50,7491,6657,0,0,0,0,
51,7591,6697,0,0,0,0,
52,7711,6737,0,0,0,0,
53,7801,6797,0,0,0,0,
54,7921,6834,0,0,0,0,
55,8001,0,0,0,0,0,
56,8141,0,0,0,0,0,
57,8222,0,0,0,0,0,
58,8342,0,0,0,0,0,
59,8482,0,0,0,0,0,
60,8582,0,0,0,0,0,
61,8662,0,0,0,0,0,
62,8782,0,0,0,0,0,
63,8842,0,0,0,0,0,
64,8948,0,0,0,0,0,
65,9088,0,0,0,0,0,
66,9192,0,0,0,0,0,
67,9252,0,0,0,0,0,
68,9336,0,0,0,0,0,
69,9416,0,0,0,0,0,
70,9516,0,0,0,0,0,
71,9624,0,0,0,0,0,
72,9724,0,0,0,0,0,
73,9804,0,0,0,0,0,
74,9924,0,0,0,0,0,
75,10004,0,0,0,0,0,
76,10104,0,0,0,0,0,
77,10225,0,0,0,0,0,
78,10313,0,0,0,0,0,
79,10393,0,0,0,0,0,
80,10533,0,0,0,0,0,
81,10629,0,0,0,0,0,
82,10729,0,0,0,0,0,
83,10849,0,0,0,0,0,
84,10969,0,0,0,0,0,
85,11072,0,0,0,0,0,
86,11152,0,0,0,0,0,
87,11272,0,0,0,0,0,
88,11412,0,0,0,0,0,
89,11572,0,0,0,0,0,
90,11612,0,0,0,0,0,
91,11717,0,0,0,0,0,
92,11777,0,0,0,0,0,
93,11857,0,0,0,0,0,
94,11925,0,0,0,0,0,
95,11985,0,0,0,0,0,
96,12045,0,0,0,0,0,
97,12105,0,0,0,0,0,
98,12177,0,0,0,0,0,
99,12269,0,0,0,0,0,
100,12359,0,0,0,0,0,
101,12419,0,0,0,0,0,
102,12459,0,0,0,0,0,
103,12573,0,0,0,0,0,
104,12655,0,0,0,0,0,
105,12732,0,0,0,0,0,
106,12828,0,0,0,0,0,
107,12948,0,0,0,0,0,
108,13048,0,0,0,0,0,
109,13094,0,0,0,0,0,
110,13194,0,0,0,0,0,
111,13254,0,0,0,0,0,
112,13322,0,0,0,0,0,
113,13422,0,0,0,0,0,
114,13542,0,0,0,0,0,
115,13638,0,0,0,0,0,
116,13698,0,0,0,0,0,
117,13759,0,0,0,0,0,
118,13879,0,0,0,0,0,
119,13946,0,0,0,0,0,
120,14024,0,0,0,0,0,
121,14104,0,0,0,0,0,
122,14144,0,0,0,0,0,
123,14244,0,0,0,0,0,
124,14284,0,0,0,0,0,
125,14424,0,0,0,0,0,
126,14504,0,0,0,0,0,
127,14604,0,0,0,0,0,
128,14684,0,0,0,0,0,
129,14744,0,0,0,0,0,
130,14824,0,0,0,0,0,
131,14944,0,0,0,0,0,
132,15044,0,0,0,0,0,
133,15068,0,0,0,0,0,
134,15188,0,0,0,0,0,
135,15228,0,0,0,0,0,
136,15288,0,0,0,0,0,
137,15352,0,0,0,0,0,
138,15407,0,0,0,0,0,
139,15487,0,0,0,0,0,
140,15547,0,0,0,0,0,
141,15647,0,0,0,0,0,
142,15695,0,0,0,0,0,
143,15775,0,0,0,0,0,
144,15855,0,0,0,0,0,
145,15915,0,0,0,0,0,
146,15956,0,0,0,0,0,
147,16056,0,0,0,0,0,
148,16116,0,0,0,0,0,
149,16156,0,0,0,0,0,
