T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
100.00,0.05,300,280,200,200,200,260,260,
100.00,0.10,300,280,200,200,200,280,260,
100.00,0.15,300,280,200,200,200,260,260,
100.00,0.20,300,260,200,200,200,280,260,
100.00,0.25,340,260,200,200,200,280,260,
100.00,0.30,300,260,200,200,200,260,260,
100.00,0.35,300,260,200,200,200,240,260,
100.00,0.40,300,260,200,200,200,280,260,
100.00,0.45,300,240,200,200,200,260,260,
100.00,0.50,300,240,200,200,200,260,260,
