T,var,IC-TE,IC-JSG,II-TE,II-JSG,CUT,DISCRETE,OPT,
100.00,0.05,3135,19198,2220,10226,459,4688,0,
100.00,0.10,3037,21309,2225,10040,494,3360,0,
100.00,0.15,3034,11211,2246,4361,494,3037,0,
100.00,0.20,3034,1859,2213,1017,508,3360,0,
100.00,0.25,7022,2715,2262,1007,508,4942,0,
100.00,0.30,3034,1855,2218,957,494,1938,0,
100.00,0.35,4539,2625,2213,966,459,1764,0,
100.00,0.40,3034,1861,2213,877,459,2052,0,
100.00,0.45,3034,1629,2213,970,561,1938,0,
100.00,0.50,3034,1629,1860,900,459,1834,0,
